fact_id,fact,source,created_at,notes,fact_category,
30019e16-dcbb-47b9-9f52-04521f6c7f29,"Put two capfuls of pure vanilla extract into an oven-safe container, then place in the oven for an hour at 300 degrees. within 20 minutes your house will smell like heaven!",,,,Life Hacks,
32f7dbc9-29a5-4350-8a7e-89127342a8e3,Triskaidekaphobia is the most common word used in spelling bees,,,,Werd Facts,
3a99c78a-a85b-41bd-be76-70a218c66d82,"The Beatles' song ""A Day in the Life"" has a frequency only dogs can hear. It's at the end of the song.",https://workingpawstraining.com/tips-for-owners/f/theres-a-beatles-song-that-has-a-frequency-only-dogs-can-hear,,The Beatles added a 15 kHz high?frequency tone as a playful Easter egg.,"Pop Culture, Animal Facts",
3dbec4bb-12dc-4f03-92ff-daad01f3c982,"Kim Kardashian has a 'glam' clause in her will. It states that if she's ever in a position where she can't get ready herself, can't communicate, or is unconscious, someone has to make sure her hair, nails, and makeup are all perfect",https://www.usmagazine.com/stylish/news/kim-kardashians-will-has-hair-makeup-nail-clause-details/,,,Pop Culture,
4343caea-26e0-4db5-8e7c-e5866265ed80,The two most effective treatments for battling depression are exercise and spending time with pets.,https://www.nature.com/articles/s41380-022-01819-w,,,"Psychology, Animal Facts, Health&Medicine, Life Hacks",
4714770b-2c4a-4750-91cc-4ab4049491c6,"No number before 1,000 contains the letter 'A' when spelled out.",https://interestingfacts.com/fact/no-number-before-1000-contains-letter-a/,,,Werd Facts,
4efd4589-9c81-423a-a15f-38ff6d8f491c,A team of six women programmed the first digital computer.,,,"ENIAC programmers (Kay McNulty, Betty Jennings, Betty Snyder, Marlyn Wescoff, Fran Bilas, Ruth Lichterman).","Inventions, Science",
5470c343-a960-48cb-a0e3-1466ed8ac3c0,"According to Genesis 1:20-22, the chicken came before the egg.",https://thefactbase.com/according-to-genesis-1-20-22-the-chicken-came-before-the-egg/,,,"Science, Animal Facts",
57d845dc-5d6e-43cf-b0d4-e6140862b0ad,"Dr. Seuss wrote ""Green Eggs and Ham"" on a bet.",,,Dr. Seuss said he wrote it after Bennett Cerf bet he couldn’t write a book using only 50 words.,Pop Culture,
5c32884c-98c9-4157-a81c-bbce3a314e9c,Rats have the ability to laugh. They do so when tickled.,https://www.newscientist.com/article/2385124-rats-have-a-laugh-centre-in-their-brains-that-responds-to-tickling/,,,Animal Facts,
5c37920d-d6cb-462c-bb80-abf9c7240356,Harry Styles has four nipples. He has a common condition called polythelia.,https://www.allure.com/story/harry-styles-confirms-he-has-four-nipples,,,"Pop Culture, Health&Medicine",
63af974e-8bf1-4a76-b52e-af57ac9c7cb3,"Chainsaws were first invented for childbirth. They were developed in Scotland in the late 18th Century to help aid and speed up the process of symphysiotomy (widening the pubic cartilage), and the removal of disease-laden bone during childbirth.",https://www.iflscience.com/we-regret-to-inform-you-that-chainsaws-were-originally-invented-for-childbirth-58685,,,"Science, Health&Medicine, History&Society, Inventions",
698bc7f3-ad99-43a2-a868-accb1adf4a0b,Your shadow will always be aimed directly at the middle of a rainbow.,https://www.natgeokids.com/nz/discover/science/nature/science-dr-karl-rainbow/,,,Science,
75dc6ebc-830b-40c2-81aa-7d72a12f1ae2,"The word 'run' holds the record for most definitions of an english word, totaling 645.",https://www.mentalfloss.com/article/582820/run-most-complex-word-in-english-language,,,Werd Facts,
7e751146-3f12-4ff5-96de-f6b26a2348aa,"In France, you can marry a dead person.",https://en.wikipedia.org/wiki/Posthumous_marriage_in_France,,,"Weird Laws, Around the Globe",
896cb3fd-c11f-4362-a85e-4c72566789c6,"Nutmeg is a hallucinogen. The spice contains myristicin, a natural compound that has mind-altering effects if ingested in large doses.",https://tripsitter.com/psychedelics/natural/page/5/,,,Science,
9829ed12-0c04-46d7-ba31-f99c5fb24295,A jiffy is an actual unit of time. It's 1/100th of a second.,https://www.sciencefocus.com/science/how-long-is-a-jiffy,,,Werd Facts,
a3fffc81-893c-4ae9-9630-44ead8270ab8,"Cows have ""best friends"" and get stressed when separated.",https://buzztatler.com/do-cows-have-best-friends-heres-what-science-says/,,,Animal Facts,
b2bdeb2b-24bb-4f23-9526-f44d3eb13a49,"People used to say ""prunes"" instead of ""cheese"" when getting their pictures taken. ",,,"In the 1840s, a cheesy grin was seen as childish, so a London photographer told people to say ""prunes"" to keep their mouths tight.","History&Society, Werd Facts",
b6882c0c-4714-4de3-a0ae-c1c54a4bb2b3,All the clocks in Pulp Fiction are set to 4:20.,,,,Pop Culture,
bc26fcfd-fb88-4f0b-9ec7-163fdc2bc000,"A group of bunnies is called a ""fluffle.""",,,,"Animal Facts, Werd Facts",
bc76adaa-5c18-4331-a9a2-c89cf5e378c2,The average amount of time a woman can keep a secret is 47 hours and 15 minutes.,https://thefactbase.com/the-average-amount-of-time-a-woman-can-keep-a-secret-is-47-hours-and-15-minutes/,,,Psychology,
bdd33f3b-2c81-4b31-ac47-d91c4dad168a,The actors who voiced Mickey and Minnie Mouse got married in real life. Russi Taylor (Minnie) and Wayne Allwine (Mickey) tied the knot in 1991.,https://www.thedisneyclassics.com/blog/mickey-and-minnie,,,Pop Culture,
be0814d4-6a01-4007-9f2b-20bcd7f893f4,"Seeing others positively reveals our positive traits, seeing others negatively reveals our negative traits.",https://www.sciencedaily.com/releases/2010/08/100802165441.htm,,,Psychology,
c8d40f9a-80ae-4e7b-8b52-28a53b1f9945,Finland has ranked as the happiest country in the world for seven years straight.,https://worldpopulationreview.com/country-rankings/happiest-countries-in-the-world,,,"Around the Globe, Psychology",
c9333ec7-5ebb-4680-a0fc-d421aa708ffc,The continent of Africa is in all four hemispheres,,,Africa crosses the Equator and the Prime Meridian.,Around the Globe,
d209799c-fbb5-4436-b5a3-3877c98e4402,All clown fish are born male. They can become female later in life.,https://australian.museum/learn/teachers/learning/sleek-geeks-videos/sex-change-in-clownfish/,,,"Animal Facts, Science",
e211b29f-7b6e-45c2-b056-8cfdae894dfd,"You can remember the value of ""pi"" by counting each word's letters in ""May I have a large container of coffee""",https://math.hmc.edu/funfacts/memorizing-pi/,,,"Werd Facts, Science, Life Hacks",
,"In ancient Greece, throwing an apple at someone was done to declare one's love.",,,,"History&Society, Around the Globe",
,Hummingbirds can't walk.,,,,Animal Facts,
,The name Wendy was made up for the book Peter Pan. There was never a recorded Wendy before it.,,,,"Pop Culture, Werd Facts",
,The british navy uses Britney Spears songs to scare off pirates.,,,,"Pop Culture, Around the Globe",
,Dryer sheets repel mosquitoes when rubbed on skin.,,,,Life Hacks,
,"It took 75 years for the telephone to reach 50 million users. It took the radio 38 years, television 13 years, and the app ""Angry Birds"" only 35 days.",,,,"Science, Inventions",
,Being isolated at home for extended periods is as harmful as smoking 15 cigarettes daily.,,,,"Psychology, Health&Medicine",
,A whale's penis is called a dork.,,,,Animal Facts,
,"If you search for ""askew"" in Google, the content will tilt slightly to the right.",,,,Pop Culture,
,Getting less than 6 hours of sleep each night can decrease life expectancy.,,,,"Psychology, Health&Medicine",
,"Men are not funnier than women: they just make more jokes, not caring whether other people like their humor or not.",,,,Psychology,
,Turn the shower to cold before you get out. It closes your pores and makes you less likely to get acne.,,,,"Life Hacks, Health&Medicine",
,Holding down the 1 or 0 (sometimes the stop/cancel) puts your microwave on silent mode.,,,,Life Hacks,
,"Smiling, even if you're not in a particularly joyful mood, can trick your brain into thinking you're happy and actually improve your mood.",,,,"Psychology, Life Hacks",
,"If you count how many times a cricket chirps in 15 seconds and add 37,  you get a rough estimate of the temperature in fahrenheit.",,,,"Animal Facts, Science",
,No one born blind has ever developed schizophrenia.,,,,Psychology,
,"Robin Williams had a stipulation in his contract that for any movie or event he did, the company hiring him also hire a certain number of homeless people and put them in work.",,,,Pop Culture,
,"Gratitude can boost dopamine and serotonin, just like antidepressants.",,,,"Psychology, Health&Medicine",
,"Scientists predict that in about 200 million years, america and asia will be one supercontinent centered on the north pole. they've even named it ""amasia.""",,,,"Science, Around the Globe",
,A single spaghetti noodle is called a spaghetto.,,,,Werd Facts,
,You cannot snore and dream at the same time.,,,,Science,
,“Weird” originally meant fate.,,,"The Old English wyrd meant fate, destiny, or the force determining what happens. Its journey toward “strange” came partly through the supernatural “weird sisters” associated with fate and later Shakespeare’s Macbeth. Etymology Online",Werd Facts,
,The dot over an i or j has a name: a “tittle.”,https://en.wikipedia.org/wiki/Tittle,,"It comes from Latin titulus, a word connected with small marks placed above letters.",Werd Facts,
,“Clue” used to mean a ball of yarn.,https://www.merriam-webster.com/dictionary/clued?utm_source=chatgpt.com,,"It comes from clew, meaning a ball of thread. The modern meaning grew from stories such as Theseus using a thread to find his way back out of the Minotaur’s labyrinth. ","Werd Facts, History&Society",
,"Before the word ""fun"" became amusement, the noun was associated with tricks or cheats, and the verb could mean to cheat or hoax someone. ",,,"Before fun became amusement, the noun was associated with tricks or cheats, and the verb could mean to cheat or hoax someone. ",Werd Facts,
,"“Fact” originally meant something done, not something true.",,,"It comes from Latin factum, “a thing done” or deed. The modern sense of something known to be true developed centuries later. ",Werd Facts,
,Andrew Johnson was buried with his head on the Constitution,,,"The 17th president died on July 31, 1875, and per his instructions, his body was wrapped in the American flag and a copy of the Constitution placed under his head.","History&Society, Pop Culture",
,There’s an underwater post office in the South Pacific,https://www.smithsonianmag.com/travel/worlds-first-underwater-post-office-180964385/,,"Situated off the coast of Hideaway Island Resort and Marine Sanctuary is the Vanuatu Post, the world’s only under-the-sea post office. Vacationers who want to send a waterproof postcard home can snorkel or scuba dive 10 feet below the ocean’s surface. A special flag is raised above the water to indicate when postal workers are in the water.",Around the Globe,https://blog.epostbook.com/wp-content/uploads/2020/09/Vanuatu-Post-Worlds-First-Underwater-Post-Office-Vanuatu.jpg
,Martin Luther King Jr. paid Julia Roberts’ hospital bill,,,"Back in 1967, MLK Jr. and Coretta Scott King covered the cost of Julia Roberts’ hospital birth. It turns out Roberts’ parents couldn’t afford the bill, and the Kings’ gesture was a heartfelt payback. Julia’s parents, who ran a theater school in Atlanta, welcomed the King children as students when they had trouble finding a place that would accept them because they were Black.",Pop Culture,
,An author predicted the sinking of the Titanic 14 years earlier,,,"In the 1898 novella The Wreck of the Titan: Or, Futility, author Morgan Robertson wrote about a fictional ‘unsinkable’ British ocean liner named Titan, that sinks after hitting an iceberg in the North Atlantic. And even more uncanny, just like the 1912 sinking of the Titanic, the Titan didn’t have enough lifeboats for all of its passengers.","Pop Culture, History&Society, Inventions",
,"First-time tourists to Paris can be so disappointed, they get sick",,,"When visiting Paris for the first time fails to live up to someone’s high expectations, it can bring on something called the Paris Syndrome. A real psychological condition, Paris Syndrome can cause symptoms such as vomiting, nausea, increased heart rate, and dizziness. Interestingly enough, it appears to affect Japanese tourists in greater numbers. Reasons for the disillusionment may be culture shock and clashes and the way Japanese pop culture portrays Paris as a picture of perfection, according to The Independent.","Psychology, Around the Globe",
,"In Sweden, Cool Ranch Doritos are called “Cool American”",,,"Swedish people don’t know what ranch flavor is, so the product goes by the name of “Cool American” instead, according to Snopes.",Around the Globe,
,A Congolese bride and groom can’t smile on their wedding day,,,"The Democratic Republic of the Congo considers marriage such a serious business, neither the bride or groom can smile or laugh during the ceremony, reception, and even in wedding photos. If they do, it shows they’re not serious about their commitment.","Around the Globe, Weird Laws",
,Mood lighting in Japan’s train stations help curb suicides,,,"Blue lights on train platforms in Japan have been shown to reduce the chance someone will jump in front of a speeding train. In fact, one study in the Journal of Affective Disorders found blue lighting reduced suicide attempts by 84%. It’s believed blue registers as a calming color, associated with the sky and sea, which may be soothing to people in distress, according to Psychology Today.","Psychology, Around the Globe",
,"In Delaware, you can get your marriage annulled if it was a joke",,,"If either or both spouses tied the knot in jest or as part of a dare in Delaware, the marriage can be annulled. You just need to file within 90 days of learning the nuptials weren’t on the up and up.",Weird Laws,
,A 16th-century “dance plague” caused people to drop like flies,,,"In the summer of 1518, hundreds of citizens in the French city of Strasbourg danced uncontrollably for days and weeks on end, with some dying from the overexertion. According to the History Channel, scientists and historians aren’t quite sure what was behind the deadly dance-a-thon, but some choice theories include the participants being part of a religious cult or having ingested a toxic mold on bread that produced spasms and hallucinations.","History&Society, Around the Globe, Health&Medicine",
,It’s illegal to run out of gas on the Autobahn,,,"Running out of gas on Germany’s fast-speed highway is against the law because it’s seen as a preventable circumstance. Stopping on the autobahn, even driving over the shoulder, is prohibited unless it’s an absolute emergency.","Around the Globe, Weird Laws",
,U.S. coins used to say “Mind Your Business”,,,"The first U.S. coin in circulation said “Mind Your Business” instead of “In God We Trust.” Benjamin Franklin was responsible for coming up with the initial motto, but the wording changed to “In God We Trust” during the Civil War, mainly as a response to increased religious sentiment, according to Snopes.",History&Society,https://ids.si.edu/ids/deliveryService?id=NMAH-NMAH1998-02433&max_w=1200
,The wavy blob of toothpaste on a toothbrush is called a “nurdle.”,https://www.britannica.com/one-good-fact/why-are-large-companies-suing-each-other-over-nurdles,,"In 2010, Colgate and Aquafresh even sued each other over the right to depict the nurdle, with each company claiming ownership","Werd Facts, Pop Culture",
,Cap’n Crunch’s full name is Horatio Magellan Crunch.,https://www.today.com/life/inspiration/interesting-facts-rcna130243,,,Pop Culture,
,"Each year, more people are killed by teddy bears than by grizzly bears.",,,,Animal Facts,
,"suicide was once treated as a crime.
during the late 19th century,
if a person got caught trying to kill themselves,
they were jailed and punished by hanging.",,,,"Weird Laws, History&Society, Psychology",
,"there is a town in norway called hell,
and it occasionally freezes over.",,,,Around the Globe,
,the average speed of heinz ketchup squirt is .028 mph.,,,,Science,
,"harriet the tortoise who passed away in 2016 had met
charles darwin in person.",,,,"Animal Facts, Pop Culture",
,"famed magician harry houdini died on halloween day
in 1926.",,,,"Pop Culture, History&Society",
,"in the entire state of maryland it is technically
illegal to give or receive oral sex.",,,,Weird Laws,
,"on october 17,
1814,
a giant vat of beer burst at a london brewery,
releasing a wave of over 100,000 gallons of porter that
flooded nearby streets and killed eight people.",,,,"Around the Globe, History&Society",
,"in 2014,
a pair of underpants donated by the mayor of brussels
was stolen from the brussels underpants museum.",,,,Around the Globe,
,"a lifelong cleveland browns fan used his obituary to
insult his team one last time.
he requested 6 of the cleveland football players to
be pallbearers at his funeral,
so they ""could let him down one last time"".",,,,Pop Culture,
,"will smith is now older than the man who played
uncle phil (james avery) was on fresh prince of bel-air.",,,,Pop Culture,
,a group of porcupines is called a prickle.,,,A baby porcupine is called a porcupette. ,Animal Facts,
,Abraham Lincoln was in the wrestling hall of fame.,https://parade.com/1099930/marynliles/history-facts/,,He had just one loss against a total of 300 opponents.,"Pop Culture, History&Society",
,Abraham Lincoln was also a licensed bartender.,https://www.legalprofessionalsinc.org/fun-facts-about-some-noted-past-u-s-presidents/,,,"Pop Culture, History&Society",
,A pig was sentenced to death in France in 1386.,https://parade.com/1099930/marynliles/history-facts/,,The pig had attacked a child who later passed away from their wounds. The pig was subsequently found guilty of the crime of killing a child and was executed by hanging.,"Around the Globe, Animal Facts, History&Society",
,Your nose gets warmer when you lie.,https://www.sciencedaily.com/releases/2012/12/121203081834.htm,,,Science,
,"There’s a statue of Jason Voorhees, the serial killer from Friday the 13th, chained to the bottom of a lake in Minnesota.",https://www.today.com/life/inspiration/interesting-facts-rcna130243,,,Pop Culture,
,A man named Ronald Macdonald robbed a Wendy’s in 2005.,https://www.rd.com/list/mcdonalds-facts-trivia/,,"The man was from Manchester, New Hampshire.",Pop Culture,
,"In Anniston, Alabama   You may not wear blue jeans down Noble Street. ",,,,Weird Laws,
,In Alabama   Bear wrestling matches are prohibited. ,,,,"Weird Laws, Animal Facts",
,In Alabama   Dominoes may not be played on Sunday. ,,,,Weird Laws,
,In Alabama   It is illegal for a driver to be blindfolded while operating a vehicle. ,,,,Weird Laws,
,In Alabama   It is illegal to wear a fake moustache that causes laughter in church. ,,,,Weird Laws,
,In Alabama   It is legal to drive the wrong way down a one-way street if you have a lantern attached to the front of your automobile. ,,,,Weird Laws,
,"In  Montgomery, Alabama   It is considered an offense to open an umbrella on a street, for fear of it spooking horses. ",,,,Weird Laws,
,In Alabama   You cannot chain your alligator to a fire hydrant. ,,,,"Weird Laws, Animal Facts",
,In Alabama   You may not have an ice cream cone in your back pocket at any time.,,,,Weird Laws,
,"In Alaska   Even though it is legal to hunt a bear, it is illegal to wake a bear and take a picture for photo opportunities. ",,,,"Weird Laws, Animal Facts",
,In Alaska   It is considered an offense to push a live moose out of a moving airplane. ,,,,"Weird Laws, Animal Facts",
,In Alaska   Kangaroos are not allowed in barber shops at any time. ,,,,"Weird Laws, Animal Facts",
,In Alaska   Moose may not be viewed from an airplane.,,,,"Weird Laws, Animal Facts",
,"In  Glendale, Arizona   Cars may not be driven in reverse. ",,,,Weird Laws,
,"In  Mohave County, Arizona   A decree declares that anyone caught stealing soap must wash with it until it is all used up.",,,,Weird Laws,
,In Arkansas   A law provides that school teachers who bob their hair will not get a raise. ,,,,Weird Laws,
,"In Arkansas, Arkansas must be pronounced ""Arkansaw"" ",,,,Weird Laws,
,In Arkansas it is illegal to buy or sell blue light bulbs.,,,,Weird Laws,
,"In  Burlingame, California   Carmel Ice cream may not be eaten while standing on the sidewalk. (Repealed when Clint Eastwood was mayor)",,,,Weird Laws,
,In California   Community leaders passed an ordinance that makes it illegal for anyone to try and stop a child from playfully jumping over puddles of water. ,,,,Weird Laws,
,In California it is illegal to have caller ID ,,,,Weird Laws,
,In California   It is illegal to cry on the witness stand. ,,,,Weird Laws,
,"In Colorado it's now legal to remove the furniture tags that say, ""Do Not Remove Under Penalty of Law."" ",,,,Weird Laws,
,"In  Sterling, Colorado   Cats may not run loose without having been fit with a taillight.",,,,"Weird Laws, Animal Facts",
,"In  Hartford, Connecticut   You aren't allowed to cross a street while walking on your hands. ",,,,Weird Laws,
,In Connecticut   You may not educate dogs.,,,,"Weird Laws, Animal Facts",
,"In Sarasota, Florida  It is illegal to sing in a public place while attired in a swimsuit. ",,,,Weird Laws,
,"In Florida   A special law prohibits unmarried women from parachuting on Sunday or she shall risk arrest, fine, and/or jailing. ",,,,Weird Laws,
,In Florida failure to tell your neighbor his house is on fire is illegal. ,,,,Weird Laws,
,"In Florida   You are not allowed to break more than three dishes per day, or chip the edges of more than four cups and/or saucers.",,,,Weird Laws,
,"In  Acworth, Georgia   All citizens must own a rake. ",,,,Weird Laws,
,It is illegal in Georgia to use profanity in the presence of a corpse. ,,,,Weird Laws,
,"In Quitman, Georgia  It is illegal for a chicken to cross the road. ",,,,"Weird Laws, Animal Facts",
,"In  Jonesboro, Georgia   It is illegal to say ""Oh, Boy"" ",,,,Weird Laws,
,"In  Marietta, Georgia   Though it is illegal to spit from a car or bus, citizens may spit from a truck.",,,,Weird Laws,
,"In  Idaho Falls, Idaho If you're 88 years of age or older, it's illegal for you to ride your motorcycle. ",,,,Weird Laws,
,"A state law in Illinois mandates that all bachelors should be called master, not mister, when addressed by their female counterparts. ",,,,Weird Laws,
,"In  Evanston, Illinois   It is unlawful to change clothes in an automobile with the curtains drawn, except in case of fire. ",,,,Weird Laws,
,In Kansas   It is illegal to hunt whales. ,,,,"Weird Laws, Animal Facts",
,In Kentucky every citizen of is required to take a shower once a year. ,,,,Weird Laws,
,It is illegal in Kentucky to marry the same man more than 3 times.,,,,Weird Laws,
,In Missouri   Four women may not rent an apartment together. ,,,,Weird Laws,
,In Missouri   It is not illegal to speed. ,,,,Weird Laws,
,"In  Purdy, Missouri   Dancing is strictly prohibited.",,,,Weird Laws,
,"In  Bernard’s Township, New Jersey   It is illegal to frown as the town is a ""Frown-Free Town Zone"". ",,,,Weird Laws,
,"In New Jersey   It is against the law to ""frown"" at a police officer. ",,,,Weird Laws,
,In Ohio   No one may be arrested on Sunday or on the Fourth of July. ,,,,Weird Laws,
,"In  Ada,  Oklahoma  If you wear New York Jets clothing, you may be put in jail. ",,,,Weird Laws,
,In  Oklahoma  Tissues are not to be found in the back of one's car. ,,,,Weird Laws,
,In Oregon   It's against the law for a wedding ceremony to be performed at a skating rink. ,,,,Weird Laws,
,"In  Myrtle Creek, Oregon   One may not box with a kangaroo. ",,,,"Weird Laws, Animal Facts",
,In Oregon   People may not whistle underwater. ,,,,Weird Laws,
,In Pennsylvania   All fire hydrants must be checked one hour before all fires. ,,,,Weird Laws,
,In Pennsylvania   You may not catch a fish by any body part except the mouth. ,,,,"Weird Laws, Animal Facts",
,"In  Fountain Inn, South Carolina   Horses are to wear pants at all times. ",,,,"Weird Laws, Animal Facts",
,In South Dakota   It is illegal to lie down and fall asleep in a cheese factory. ,,,,Weird Laws,
,"In Texas   A recently passed anticrime law requires criminals to give their victims 24 hours’ notice, either orally or in writing, and to explain the nature of the crime to be committed. ",,,,Weird Laws,
,In Texas   You can be legally married by publicly introducing a person as your husband or wife 3 times.,,,,Weird Laws,
,In Wisconsin  you are allowed to marry your house. ,,,,Weird Laws,
