werd,definition,part_of_speech,pronunciation,origin,language,tags,source_1,source_2,created_by,created_at,is_curated,,,,,,,fact_check_notes
anhedonia,"A psychological condition characterized by the inability to experience pleasure or interest in activities that were previously enjoyable. It is a common symptom of depression, but can also occur in other mental health conditions, such as anxiety, schizophrenia",n.,an-hee-DOH-nee-uh,Adopted from Greek,English,psychology,https://www.dictionary.com/browse/Anhedonia,,,,y,,,,,,,
anuptaphobia,Fear of staying single.,n.,uh-NUHP-tuh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/fear-of-being-or-staying-single-phobia-anuptaphobia/,,,,n,,,,,,,
apiphobia,Fear of bees,n.,uh-pih-FOH-bee-uh,Formed from Latin/Greek roots,English,"psychology,phobia",https://www.fearof.net/fear-of-bees-phobia-apiphobia/,,,,y,,,,,,,
apodictic,Unquestionably true or certain,adj.,ap-uh-DIK-tik,Adopted from Greek,English,philosophical,,,,,n,,,,,,,
apothecary,A person who prepared and sold medicines and drugs:,n.,uh-POTH-uh-kair-ee,Adopted from Greek via Latin,English,"archaic,obsolete",https://en.wikipedia.org/wiki/Apothecary,,,,n,,,,,,,
arcane,"Secret, mysterious, understood by few",adj.,ar-KAYN,Adopted from Latin,English,"obscure,trait",https://www.dictionary.com/browse/Arcane,,,,y,,,,,,,
argle-bargle,A heated or confused argument,n.,AR-guhl BAR-guhl,Formed in Scots/English,English,"humorous,slang",https://en.wiktionary.org/wiki/argle-bargle,,,,n,,,,,,,
assiduous,Hardworking and diligent,adj.,uh-SIJ-oo-uhs,Adopted from Latin,English,trait,https://www.dictionary.com/browse/assiduous,,,,n,,,,,,,
ataraxia,A state of serene calmness.,n.,at-uh-RAK-see-uh,,Greek,"philosophical,obscure",https://www.britannica.com/topic/ataraxia,,,,n,,,,,,,
atelophobia,Fear of failure; fear of not being good enough,n.,uh-tel-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,existential,phobia,emotion",https://www.fearof.net/?s=atelophobia,,,,y,,,,,,,
athazagoraphobia,"The fear of forgetting, being forgotten or ignored, or being replaced",n.,ath-uh-zag-or-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,existential,phobia,emotion",https://www.fearof.net/?s=athazagoraphobia,,,,y,,,,,,,
augury,A sign or omen of something to come,n.,AW-gyuh-ree,Adopted from Latin,English,"philosophical,existential",https://www.dictionary.com/browse/augury,,,,n,,,,,,,
auspicate,To predict or foretell,v.,AW-spih-kayt,Adopted from Latin,English,obsolete,https://www.oed.com/dictionary/auspicate_v?tl=true,,,,n,,,,,,,
autodidact,A self-taught person,n.,aw-toh-DY-dakt,Formed from Greek roots,English,"academia,trait",https://www.dictionary.com/browse/autodidact,,,,y,,,,,,,
balderdash,"Senseless, stupid, or exaggerated talk or writing; nonsense.",n.,bawl-der-dash,Origin uncertain; English slang,English,"humorous,archaic,obsolete",https://www.dictionary.com/browse/balderdash,,,,n,,,,,,,
balter,To dance or tread clumsily.,v.,BAL-ter,Origin uncertain; English dialect,English,"humorous,obscure",https://www.dictionary.com/browse/balter,,,,y,,,,,,,
bamboozle,To confuse or deceive,v.,bam-BOO-zuhl,Origin uncertain; English slang,English,"humorous,slang",https://en.wiktionary.org/wiki/bamboozle,https://api.datamuse.com/words?sp=bamboozle&md=dp&max=1,,,y,,,,,,,
banal,So lacking in originality as to be obvious and boring.,adj.,buh-NAL,Adopted from French,English,trait,https://www.merriam-webster.com/dictionary/banal,,,,n,,,,,,,
befuddle,"To confuse, muddle, or perplex",adj.,bih-FUD-ling,Native English / Old English,English,"psychology,humorous",https://www.thefreedictionary.com/befuddling,,,,n,,,,,,,
behoof,Benefit; advantage,n.,bih-HOOF,Native English / Old English,English,archaic,https://www.dictionary.com/browse/behoof,,,,y,,,,,,,
bemuse,Confuse; puzzle,v.,bih-MYOOZ,Formed in English from muse,English,psychology,https://www.dictionary.com/browse/bemuse,,,,n,,,,,,,
beshrew,Invoke evil upon; curse; blame for a misfortune.,v.,bih-shroo,Native English / Old English,English,archaic,https://www.dictionary.com/browse/beshrew,,,,n,,,,,,,
besmirch,Damage the reputation of (someone or something) in the opinion of others:,v.,bih-smurch,Native English / Old English,English,"archaic,trait",https://www.dictionary.com/browse/besmirch,,,,n,,,,,,,
betwixt,Between,prep.,bih-twikst,Native English / Old English,English,archaic,https://www.dictionary.com/browse/betwixt,,,,y,,,,,,,
bibliophile,A lover of books.,n.,BIB-lee-oh-file,Formed from Greek roots,English,"academia,psychology",https://www.google.com/search?sca_esv=7f3b3e58f08bcb9f&sxsrf=AE3TifM4CMockFqgzCPIqrACXak3FaAsZQ%3A1748247874161&q=Bibliophile&sa=X&ved=2ahUKEwiX75Ls2sCNAxW3D9AFHRXmDLoQxccNegUIsgEQAQ&mstk=AUtExfC917OD-P9fTwhNzwNIrOVLqm1NqGBihWYCLCG2pmHFyv9F5mmd7hUWMQHpKWwp3x_5lopl_TiIlahQUR_X-AKhOxcjvy5efgCoKW0GYkhDXBgbyQEDtLKqslS4ygwfmverqxt4JDEMyaUUQ3jBH5edBOZcHtiqsPGWKltpP8trNuk&csui=3,,,,n,,,,,,,
bide,Wait; remain; to endure; bear.,v.,bahyd,Native English / Old English,English,"archaic,obsolete",https://www.dictionary.com/browse/bide,,,,y,,,,,,,
billet-doux,A love letter.,n.,bee-yay-DOO,,French,romantic,https://www.dictionary.com/browse/billet-doux,,,,n,,,,,,,
blatherskite,Someone who talks nonsense,n.,BLATH-er-skyte,Adopted from Scots/English dialect,English,"humorous,slang",https://en.wiktionary.org/wiki/blatherskite,,,,n,,,,,,,
brouhaha,Noisy excitement or uproar,n.,BROO-hah-hah,,French,humorous,https://www.dictionary.com/browse/brouhaha,,,,n,,,,,,,
cacoethes,An urge to do something inadvisable; an insatiable desire,n.,kak-oh-EE-theez,Adopted from Greek,English,"psychology,obscure",https://www.collinsdictionary.com/us/dictionary/english/cacoethes,,,,n,,,,,,,
caitiff,A cowardly despicable person,n.,KAY-tif,Adopted from Old French,English,"archaic,trait",https://www.thefreedictionary.com/caitiff,,,,n,,,,,,,
callipygian,Having well-shaped buttocks,adj.,kal-uh-PIJ-ee-uhn,Formed from Greek roots,English,humorous,https://www.dictionary.com/browse/callipygian,https://en.wikipedia.org/wiki/Venus_Callipyge,,,y,,,,,,,
callow,Inexperienced and immature.,adj.,KAL-oh,Native English / Old English,English,trait,https://www.merriam-webster.com/dictionary/callow,,,,n,,,,,,,
canoodle,Cuddle and kiss amorously,v.,kuh-NOO-dul,Origin uncertain; English slang,English,"romantic,humorous",,,,,n,,,,,,,
castigate,To inflict severe punishment for wrong doing,v.,KAS-tih-gayt,Adopted from Latin,English,trait,https://www.dictionary.com/browse/castigate,,,,n,,,,,,,
catharsis,"Psychotherapy that encourages or permits the discharge of pent-up, socially unacceptable affects.",n.,kuh-THAR-sis,Adopted from Greek,English,psychology,https://www.dictionary.com/browse/catharsis,,,,n,,,,,,,
cattywampus,Crooked or out of alignment. also spelled catawampus or kattywampus.,adj.,kat-ee-WAHM-puhs,Origin uncertain; American English,English,"humorous,obsolete,slang",https://uselessetymology.com/2017/12/02/the-etymology-of-cattywampus/,,,,n,,,,,,,
chagrin,Embarrassment mixed with disappointment,n.,shuh-GRIN,,French,emotion,https://www.dictionary.com/browse/chagrin,,,,n,,,,,,,
cherophobia,Fear of happiness.,n.,kair-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=cherophobia,,,,y,,,,,,,
choleric,Easily angered,adj.,KOL-er-ik,Adopted from Greek via Latin,English,"psychology,emotion,trait",https://www.dictionary.com/browse/choleric,https://fourtemperaments.com/the-choleric-temperament/,,,n,,,,,,,
chronophobia,Fear of time and time moving forward,n.,kron-uh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=chronophobia,,,,n,,,,,,,
circumspect,Cautious and careful,adj.,SER-kuhm-spekt,Adopted from Latin,English,trait,,,,,n,,,,,,,
claptrap,Nonsense; insincere talk,n.,KLAP-trap,Formed in English,English,humorous,,,,,n,,,,,,,
clement,Showing kindness and mercy.,adj.,KLEM-uhnt,Adopted from Latin,English,trait,https://www.dictionary.com/browse/clement,,,,n,,,,,,,
cockalorum,A self-important man.,n.,kok-uh-LOR-um,Origin uncertain; English dialect,English,"humorous,obsolete",https://www.thefreedictionary.com/cockalorum,,,,n,,,,,,,
codger,A quirky old person,n.,KOJ-er,Origin uncertain; English dialect,English,"humorous,slang",,,,,n,,,,,,,
codswallop,Complete nonsense,n.,kodz-WOL-uhp,Origin uncertain; English slang,English,"humorous,slang",https://en.wiktionary.org/wiki/codswallop,https://api.datamuse.com/words?sp=codswallop&md=dp&max=1,,,n,,,,,,,
collywobbles,A feeling of nervousness or queasiness; “butterflies in the stomach.”,n.,KOL-ee-wob-uhlz,Origin uncertain; English slang,English,humorous,https://www.dictionary.com/browse/collywobbles,,,,y,,,,,,,
comeuppance,Just punishment; deserved rebuke,n.,kum-UP-uhns,Formed in American English,English,humorous,COMEUPPANCE Definition & Meaning | Dictionary.com,,,,y,,,,,,,
copacetic,Fine; completely satisfactory; OK.,adj.,koh-puh-SET-ik,Origin uncertain; American English slang,English,slang,https://www.dictionary.com/browse/copacetic,,,,y,,,,,,,
coprolalia,The involuntary use of obscene language,n.,kop-ruh-LAY-lee-uh,Formed from Greek roots,English,psychology,,,,,n,,,,,,,
cordiform,Heart shaped,adj.,KOR-duh-form,Formed from Latin roots,English,"romantic,poetic",,,,,y,,,,,,,
cordolium,"Heartache, heartfelt sorrow",n.,kor-DOH-lee-uhm,,Latin,"poetic,existential,emotion",https://www.wordsense.eu/cordolium/,,,,n,,,,,,,
coulrophobia,Fear of clowns,n.,kool-ruh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=coulrophobia,,,,n,,,,,,,
couth,Cultured or refined,adj.,KOOTH,Native English / Old English,English,trait,,,,,y,,,,,,,
currish,Mean-spirited or dog-like in behavior,adj.,KUR-ish,Native English / Old English,English,"archaic,trait",,,,,n,,,,,,,
dapper,Neat and stylish,adj.,DAP-er,Adopted from Middle Dutch,English,trait,,,,,y,,,,,,,
dastard,A coward,n.,DAS-terd,Adopted from Old Norse,English,"archaic,trait",,,,,n,,,,,,,
decathect,"To withdraw one's feelings of attachment from (a person, idea, or object), as in anticipation of a future loss.",v.,dee-kuh-THEKT,Formed in English from Greek/Latin roots,English,"psychology,existential",https://www.dictionary.com/browse/decathect,,,,n,,,,,,,
defenestrate,To throw someone out of a window,v.,dee-FEN-uh-strayt,Adopted from Latin,English,"humorous,obscure",,,,,n,,,,,,,
deleterious,Causing harm or damage.,adj.,del-ih-TEER-ee-uhs,Adopted from Greek via Latin,English,trait,https://www.merriam-webster.com/dictionary/deleterious,,,,n,,,,,,,
demesne,A person’s land or property,n.,dih-MAYN,Adopted from Old French,English,"archaic,obsolete",,,,,n,,,,,,,
denigrate,To belittle or criticize unfairly,v.,DEN-ih-grayt,Adopted from Latin,English,trait,,,,,n,,,,,,,
desuetude,Disuse; state of no longer used,n.,DES-wih-tood,Adopted from Latin,English,"obscure,obsolete",,,,,n,,,,,,,
desultory,Lacking a plan or purpose,adj.,DES-ul-tor-ee,Adopted from Latin,English,trait,,,,,n,,,,,,,
diaphanous,"Light, sheer, and delicate",adj.,dy-AF-uh-nuhs,Adopted from Greek,English,poetic,https://en.wiktionary.org/wiki/diaphanous,https://api.datamuse.com/words?sp=diaphanous&md=dp&max=1,,,n,,,,,,,
didactic,Intended to teach or instruct,adj.,dy-DAK-tik,Adopted from Greek,English,academia,,,,,n,,,,,,,
didaskaleinophobia,Fear of going to school,n.,dy-das-kuh-lay-nee-oh-FOH-bee-uh,Formed from Greek roots,English,"academia,psychology,phobia",https://www.fearof.net/?s=didaskaleinophobia,,,,n,,,,,,,
didymous,Twin or paired,adj.,DID-uh-muhs,Adopted from Greek,English,obscure,,,,,n,,,,,,,
diffidation,Distrust or doubt,n.,dif-ih-DAY-shun,Adopted from Latin,English,"archaic,emotion",,,,,n,,,,,,,
diffident,Shy due to lack of confidence,adj.,DIF-ih-duhnt,Adopted from Latin,English,"emotion,trait",,,,,y,,,,,,,
dillydally,To waste time,v.,DIL-ee-dal-ee,Formed in English reduplication,English,"humorous,slang",,,,,n,,,,,,,
discombobulate,To confuse or disconcert,v.,dis-kuhm-BOB-yuh-layt,Formed in American English slang,English,"humorous,slang",,,,,y,,,,,,,
discomfit,To defeat or frustrate,v.,dis-KUM-fit,Adopted from Old French,English,emotion,,,,,n,,,,,,,
discordant,Lacking harmony or agreement,adj.,dis-KOR-dunt,Adopted from Latin,English,trait,,,,,n,,,,,,,
disgruntle,To make someone dissatisfied or unhappy,v.,dis-GRUN-tul,Formed in English,English,emotion,,,,,n,,,,,,,
disinter,To dig up or exhume a buried body,v.,dis-in-TUR,Adopted from Latin,English,obscure,,,,,n,,,,,,,
dislimn,To erase or obscure a painting or image,v.,dis-LIM,Adopted from Latin,English,"poetic,obscure",,,,,n,,,,,,,
disport,To amuse or entertain oneself in a lively way,v.,dis-PORT,Adopted from Old French,English,"humorous,archaic",,,,,n,,,,,,,
dissemble,Conceal motives; act deceitfully,v.,dih-SEM-bul,Adopted from Old French / Latin,English,trait,,,,,n,,,,,,,
dissertate,To give a formal or lengthy lecture or discourse,v.,dih-SUR-tayt,Adopted from Latin,English,academia,,,,,n,,,,,,,
dithyramb,Wildly enthusiastic speech or writing,n.,DITH-uh-ram,Adopted from Greek,English,"poetic,emotion",,,,,n,,,,,,,
divagate,To stray or wander off the subject,v.,DYE-vuh-gayt,Adopted from Latin,English,"obscure,trait",,,,,n,,,,,,,
dizen,To dress up or adorn in a showy or cheap way,v.,DYE-zuhn,Adopted from Old French,English,"humorous,archaic",,,,,n,,,,,,,
donnybrook,A loud argument or fight,n.,DON-ee-brook,Adopted from Irish place name,English,"humorous,slang",https://en.wiktionary.org/wiki/donnybrook,https://api.datamuse.com/words?sp=donnybrook&md=dp&max=1,,,y,,,,,,,
dragoon,To coerce or force someone to do something,v.,druh-GOON,Adopted from French,English,obscure,,,,,n,,,,,,,
dudgeon,Resentful anger,n.,DUJ-un,Origin uncertain; English,English,"archaic,emotion",,,,,n,,,,,,,
eccedentesiast,Someone who only pretends to smile; a humorless or habitually serious person. Derived from the Greek word ekklesiast (Ecclesiastes in the Bible),n.,ek-suh-den-TEE-zee-ast,Modern coinage from Greek roots,English,"psychology,neologism,existential,obscure",https://www.thedictionaryofobscuresorrows.com/word/eccedentesiast,,,,y,,,,,,,
eftsoons,Soon afterward,adv.,EFT-soonz,Native English / Old English,English,"archaic,obsolete",,,,,n,,,,,,,No Free Dictionary API match. No exact Datamuse match.
egregious,Outstandingly bad; shocking,adj.,ih-GREE-jus,Adopted from Latin,English,trait,,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
eke,Increase; add to,v.,EEK,Native English / Old English,English,archaic,,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
elation,Great happiness,n.,ee-LAY-shuhn,Adopted from Latin,English,emotion,,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
eldritch,Weird and eerie,adj.,EL-drich,Adopted from Scots/English,English,"poetic,obscure",,,,,n,,,,,,,No Free Dictionary API match. Datamuse supplied a secondary definition signal.
eleutheromania,An intense and irresistible desire for freedom,n.,ee-leth-uh-roh-MAY-nee-uh,Formed from Greek roots,English,"psychology,emotion",https://en.wiktionary.org/wiki/eleutheromania,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
elide,To omit or leave out a sound or syllable in speech or writing,v.,ih-LYDE,Adopted from Latin,English,academia,,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
elysian,Relating to or characteristic of heaven or paradise.,adj.,ih-LEE-zhee-uhn,Adopted from Greek/Latin,English,"philosophical,poetic",https://www.merriam-webster.com/dictionary/elysian,,,,n,,,,,,,No Free Dictionary API match. No exact Datamuse match.
emetophobia,Fear of vomiting.,n.,em-ET-oh-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=emetophobia,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
encomium,High praise or tribute,n.,en-KOH-mee-um,Adopted from Greek,English,"academia,poetic",,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
endue,To provide or endow with a quality or characteristic,v.,en-DOO,Adopted from Latin,English,archaic,,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
enervate,To deprive of force or strength; destroy the vigor of; weaken,v.,EN-er-vayt,Adopted from Latin,English,obscure,https://www.dictionary.com/browse/enervate,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
ennui,Weariness from lack of meaning,n.,ahn-WEE,,French,"existential,emotion",,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
ensconce,To settle comfortably or securely in a place,v.,en-SKONS,Adopted from French,English,poetic,,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
entelechy,A realization or actuality as opposed to a potentiality,n.,en-TEL-uh-kee,Adopted from Greek,English,"philosophical,obscure",https://www.dictionary.com/browse/entelechy,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
enthral,To hold spellbound; enchant; captivate.,v.,en-THRAWL,Native English / Old English,English,"romantic,poetic",https://www.dictionary.com/browse/enthral,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
entreat,To plead or beg for something,v.,en-TREET,Adopted from Old French / Latin,English,"poetic,emotion",,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
ephemeral,Lasting a very short time,n.,ih-FEM-er-uhl,Adopted from Greek,English,"poetic,existential",https://en.wiktionary.org/wiki/ephemeral,https://api.datamuse.com/words?sp=ephemeral&md=dp&max=1,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
equipoise,Balance or equilibrium,n.,EK-wuh-poyz,Adopted from Latin,English,"philosophical,poetic",,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
eremition,"The act of gradually fading from the lives of others, not out of malice but from a desire for solitude or renewal.",n.,eh-ruh-MISH-uhn,Modern English coinage,English,"neologism,obscure",https://rogermckeever.substack.com/p/eremition-the-art-of-disappearing,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
erewhile,Formerly or previously,adv.,AIR-hwile,Native English / Old English,English,"archaic,poetic",,,,,n,,,,,,,Definition found via Free Dictionary API; verify against listed source URL. Datamuse supplied a secondary definition signal.
ersatz,Inferior or artificial,adj.,AIR-zahts,,German,trait,,,,,n,,,,,,,
erstwhile,Former; previous,adj.,URST-hwile,Native English / Old English,English,archaic,,,,,n,,,,,,,
erudite,Deeply learned or scholarly,adj.,AIR-yoo-dyte,Adopted from Latin,English,"academia,trait",,,,,n,,,,,,,
eschatology,The study of the end of the world or the afterlife,n.,es-kuh-TAH-luh-jee,Formed from Greek roots,English,"academia,philosophical,existential",,,,,n,,,,,,,
esoteric,Understood by a small group,adj.,es-uh-TAIR-ik,Adopted from Greek,English,obscure,,,,,y,,,,,,,
ethereal,"Light, delicate, and otherworldly",adj.,ih-THEER-ee-uhl,Adopted from Latin/Greek,English,poetic,https://en.wiktionary.org/wiki/ethereal,https://api.datamuse.com/words?sp=ethereal&md=dp&max=1,,,n,,,,,,,
eunoia,Beautiful thinking; well mind,n.,yoo-NOY-uh,Adopted from Greek,English,"philosophical,obscure",https://philosophy.stackexchange.com/questions/54965/what-is-the-meaning-of-the-term-e%C3%BAnoia,,,,n,,,,,,,
euphobia,Fear of good news,n.,yoo-FOH-bee-uh,Formed from Greek roots,English,"psychology,phobia",https://www.fearof.net/?s=euphobia,,,,n,,,,,,,
evanescent,Fading like mist,adj.,ev-uh-NES-uhnt,Adopted from Latin,English,poetic,https://en.wiktionary.org/wiki/evanescent,https://api.datamuse.com/words?sp=evanescent&md=dp&max=1,,,n,,,,,,,
evince,To show or demonstrate clearly or convincingly,v.,ih-VINS,Adopted from Latin,English,academia,,,,,n,,,,,,,
excoriate,To criticize or rebuke harshly or severely,v.,ek-SKOR-ee-ayt,Adopted from Latin,English,"emotion,trait",,,,,n,,,,,,,
exiguous,Scanty or meager in amount,adj.,ig-ZIG-yoo-uhs,Adopted from Latin,English,obscure,,,,,n,,,,,,,
expatiate,To speak or write at length on a subject,v.,ek-SPAY-shee-ayt,Adopted from Latin,English,academia,,,,,n,,,,,,,
exscind,To cut off or remove completely,v.,ek-SIND,Adopted from Latin,English,"obscure,obsolete",,,,,n,,,,,,,
extemporize,To improvise or speak without preparation,v.,ek-STEM-puh-ryze,Adopted from Latin,English,"academia,trait",,,,,n,,,,,,,
extramundane,Existing outside or beyond the physical world,adj.,ek-struh-mun-DAYN,Formed from Latin roots,English,"philosophical,poetic,existential",,,,,n,,,,,,,
extremophile,An organism that thrives in extreme environmental conditions.,n.,ik-STREE-muh-file,Formed from Latin/Greek roots,English,"academia,obscure",https://www.merriam-webster.com/dictionary/extremophile,,,,n,,,,,,,
exulansis,The tendency to stop talking about an experience because others cannot relate to it.,n.,ek-suh-LAN-sis,Modern coinage from Latin roots,English,"existential,obscure",https://www.thedictionaryofobscuresorrows.com/word/exulansis,,,,n,,,,,,,
exultant,Triumphantly happy,adj.,ig-ZUHL-tuhnt,Adopted from Latin,English,emotion,,,,,n,,,,,,,
factitious,Artificially created or produced,adj.,fak-TISH-us,Adopted from Latin,English,academia,,,,,n,,,,,,,
fain,Pleased or willing to do something,adj.,FAYN,Native English / Old English,English,"archaic,emotion",,,,,n,,,,,,,
fandango,An elaborate or foolish action,n.,fan-DANG-goh,Adopted from Spanish,English,"humorous,slang",https://en.wiktionary.org/wiki/fandango,https://api.datamuse.com/words?sp=fandango&md=dp&max=1,,,n,,,,,,,
farrago,A confused mixture, In confused disorder,fuh-RAH-goh,,Latin,"humorous,obscure",,,,,n,,,,,,,
fastidious,"Excessively particular, demanding, or fussy about details.",adj.,fa-STID-ee-uhs,Adopted from Latin,English,trait,,,,,n,,,,,,,
fastuous,Boastful or pretentious,adj.,FAS-choo-us,Adopted from Latin,English,"obsolete,trait",,,,,n,,,,,,,
fatidic,Prophetic or predicting the future,adj.,fuh-TID-ik,Adopted from Latin,English,"philosophical,poetic",,,,,n,,,,,,,
fatuous,Silly; smugly foolish,adj.,FACH-oo-us,Adopted from Latin,English,trait,,,,,n,,,,,,,
fealty,Loyalty or allegiance to a lord or king,n.,FEE-ul-tee,Adopted from Old French,English,archaic,,,,,n,,,,,,,
feckless,Lacking initiative; ineffective,adj.,FEK-lis,Adopted from Scots/English,English,trait,,,,,n,,,,,,,
fiddle-faddle,Trivial matters,n.,FID-l-FAD-l,Formed in English reduplication,English,"humorous,slang",,,,,n,,,,,,,
fidge,Fidget; be restless,v.,FIJ,Origin uncertain; English dialect,English,"humorous,slang",,,,,y,,,,,,,
filipendulous,Hanging by a thread,adj.,fil-ih-PEN-juh-luhs,Formed from Latin roots,English,existential,https://www.merriam-webster.com/dictionary/filipendulous,,,,y,,,,,,,
flapdoodle,Nonsense,n.,FLAP-doo-dul,Origin uncertain; English slang,English,"humorous,slang",,,,,n,,,,,,,
flibbertigibbet,A foolish or overly talkative person,n.,flib-er-tee-JIB-it,Origin uncertain; English,English,"humorous,trait",https://en.wiktionary.org/wiki/flibbertigibbet,https://api.datamuse.com/words?sp=flibbertigibbet&md=dp&max=1,,,n,,,,,,,
